,album_id,artists_name,album_name,song_title,song_popularity,album_total_tracks,album_external_link,album_release_date
35,5NLjxx8nRy9ooUmgpOvfem,Omah Lay,Boy Alone,soso,74,14,https://open.spotify.com/album/5NLjxx8nRy9ooUmgpOvfem,2022-07-14
36,2Ti12rxuf2NZ22iUzUXSNP,Burna Boy,Higher,Higher,63,1,https://open.spotify.com/album/2Ti12rxuf2NZ22iUzUXSNP,2024-06-27
37,1qAq4CaRxrA3WCmLx6WA8N,Princess Wonda,International Lovin,International Lovin,54,1,https://open.spotify.com/album/1qAq4CaRxrA3WCmLx6WA8N,2024-11-01
39,5Hmh6N8oisrcuZKa8EY5dn,Libianca,People,People,77,1,https://open.spotify.com/album/5Hmh6N8oisrcuZKa8EY5dn,2022-12-06
40,00Z9OpzSflzHQuKMrR315g,Seyi Vibez,Bad Vibes,Bad Vibes (feat. Seyi Vibez),61,1,https://open.spotify.com/album/00Z9OpzSflzHQuKMrR315g,2024-05-09
41,0DSIfkfmDDNRbB87Xk0ipd,Tems,Love Me JeJe,Love Me JeJe,67,1,https://open.spotify.com/album/0DSIfkfmDDNRbB87Xk0ipd,2024-04-25
42,68nJVTjmRbl5se1eYTglBA,Lojay,Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay),60,1,https://open.spotify.com/album/68nJVTjmRbl5se1eYTglBA,2023-10-20
43,0D5fIo40wr5QpfUQ2l26vf,Gunna,Happiness (feat. Asake & Gunna),Happiness (feat. Asake & Gunna),67,1,https://open.spotify.com/album/0D5fIo40wr5QpfUQ2l26vf,2023-12-07
44,4atn1aHLq3H0jxE5kJs2S7,Fireboy DML,everyday,everyday,60,1,https://open.spotify.com/album/4atn1aHLq3H0jxE5kJs2S7,2024-05-02
45,4Q2RjSDGbmXumbrTQTEYd3,Bnxn,Romeo Must Die (RMD),Romeo Must Die (RMD),52,1,https://open.spotify.com/album/4Q2RjSDGbmXumbrTQTEYd3,2024-02-29
46,3KGVOGmIbinlrR97aFufGE,Tyla,TYLA,Jump,74,14,https://open.spotify.com/album/3KGVOGmIbinlrR97aFufGE,2024-03-22
47,2romtHkXtk2NdpxDXfn6hs,Afrisounds,Pepper,Pepper,46,1,https://open.spotify.com/album/2romtHkXtk2NdpxDXfn6hs,2023-11-03
48,3j33Z0rLryDGCZFRhppoZq,EMPIRE,Cough (Odo),Cough (Odo),55,1,https://open.spotify.com/album/3j33Z0rLryDGCZFRhppoZq,2022-10-13
49,3kUsN1xznmz321Z0l5AaAI,Richie Benson,Knocking,Knocking,44,1,https://open.spotify.com/album/3kUsN1xznmz321Z0l5AaAI,2022-06-03
50,4JlWlQoaf9gg1Ve5rzoSQi,Mohbad,Egwu,Egwu,59,1,https://open.spotify.com/album/4JlWlQoaf9gg1Ve5rzoSQi,2023-12-15
51,6lI21W76LD0S3vC55GrfSS,Davido,Timeless,UNAVAILABLE (feat. Musa Keys),69,17,https://open.spotify.com/album/6lI21W76LD0S3vC55GrfSS,2023-03-30
52,0KY0jPbjf73IhpkIvLfWVa,Dr. Chaii,Just a Little Bit,Just a Little Bit,43,1,https://open.spotify.com/album/0KY0jPbjf73IhpkIvLfWVa,2023-09-27
53,5aVA4avxVgyg1S6iVQpx0m,Burna Boy,Do I (Remix),Do I - Remix,55,1,https://open.spotify.com/album/5aVA4avxVgyg1S6iVQpx0m,2023-12-19
54,2O9VJaLSnwjZ2HPpMaVoPU,Asake,Work Of Art,Lonely At The Top,70,14,https://open.spotify.com/album/2O9VJaLSnwjZ2HPpMaVoPU,2023-06-15
56,6ewzGgAnMYgU7RmE3XWw0T,Bantu,Sugar,Sugar,44,1,https://open.spotify.com/album/6ewzGgAnMYgU7RmE3XWw0T,2024-04-12
57,36bNKiiUjxUCaAO7QtUVfi,Oxlade,KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,72,1,https://open.spotify.com/album/36bNKiiUjxUCaAO7QtUVfi,2022-06-10
58,18ykMJdXdkUldVNESaXDke,Asake,Bandana,Bandana,53,1,https://open.spotify.com/album/18ykMJdXdkUldVNESaXDke,2022-07-13
60,5y1s96lknw32i5O1OObkhg,Omah Lay,Holy Ghost,Holy Ghost,70,1,https://open.spotify.com/album/5y1s96lknw32i5O1OObkhg,2023-11-09
61,27KnOMqnTWsnfBMXZ4YEuZ,King Promise,Terminator,Terminator,58,1,https://open.spotify.com/album/27KnOMqnTWsnfBMXZ4YEuZ,2023-05-05
63,1nhw91pN6LpY6MriDZqVDC,Tumelo_za,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",61,1,https://open.spotify.com/album/1nhw91pN6LpY6MriDZqVDC,2023-04-28
